Intercept,Encounter strategy,log(Predator mass),log(prey_mass),log(temperature),log(pred_mass)*log(prey_mass),log(pred_mass):log(temperature),log(prey_mass):log(temperature),AICc
-8.08,+,0.58,0.59,1.84,-,-,0.12,783.95
-13.58,+,1.97,0.28,3.96,-0.02,-0.56,0.24,784.11
-6.98,+,0.54,0.91,1.48,-0.01,-,-,784.44
-6.64,+,0.66,0.87,1.21,-,-,-,784.63
-14.54,-,2.06,0.22,3.92,-0.02,-0.60,0.25,784.74
-10.43,+,1.23,0.31,2.75,-,-0.24,0.23,784.81
-7.85,+,0.54,0.70,1.80,0.00,-,0.09,785.68
-7.96,-,0.55,0.55,1.57,-,-,0.14,785.95
-6.75,-,0.50,0.92,1.18,-0.01,-,-,786.15
-7.75,+,0.88,0.91,1.81,-0.01,-0.13,-,786.16
-6.29,+,0.43,0.88,1.10,-,0.08,-,786.47
-9.87,-,1.08,0.31,2.32,-,-0.20,0.23,787.19
-7.74,-,0.50,0.68,1.53,-0.01,-,0.09,787.27
-9.49,-,1.10,0.87,1.97,-0.02,-0.22,-,787.35
-5.84,-,0.61,0.91,0.74,-,-,-,787.94
-3.98,-,0.60,0.91,-,-,-,-,788.30
-3.52,+,0.62,0.91,-,-,-,-,788.40
-5.51,-,0.23,0.91,0.60,-,0.13,-,788.92
-3.87,-,0.55,0.91,-,-0.01,-,-,789.27
-3.39,+,0.57,0.93,-,0.00,-,-,790.17
-7.85,+,-,0.34,2.54,-,-,0.39,824.88
-8.46,-,-,0.17,2.59,-,-,0.37,846.79
-0.92,+,-,1.42,-,-,-,-,849.82
-1.40,+,-,1.42,0.19,-,-,-,851.88
-17.17,+,2.17,-,3.20,-,-0.33,-,859.08
-15.86,+,1.25,-,2.66,-,-,-,861.08
-1.42,-,-,1.22,-,-,-,-,865.04
-22.16,-,2.12,-,3.13,-,-0.31,-,866.40
-2.85,-,-,1.21,0.51,-,-,-,866.45
-20.45,-,1.25,-,2.60,-,-,-,867.87
-9.27,+,1.22,-,-,-,-,-,876.93
-13.36,-,1.26,-,-,-,-,-,884.92
-13.59,+,-,-,1.80,-,-,-,1058.21
-8.79,+,-,-,-,-,-,-,1058.60
-21.84,-,-,-,2.78,-,-,-,1068.21
-14.28,-,-,-,-,-,-,-,1072.97
